edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_anual,impacto_economico
41,Yes,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Media,Alta,2,Sales Executive,Alta,Single,5993,8,Yes,11,Alta,Baja,0,8,0,6,0,5,71916,14670.864
49,No,Travel_Frequently,Research & Development,8,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Married,5130,1,No,23,Muy_Alta,Muy_Alta,1,10,3,10,1,7,61560,12558.24
37,Yes,Travel_Rarely,Research & Development,2,Secundaria,Other,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2090,6,Yes,15,Alta,Media,0,7,3,0,0,0,25080,4037.88
33,No,Travel_Frequently,Research & Development,3,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Married,2909,1,Yes,11,Alta,Alta,0,8,3,8,3,0,34908,6876.876
27,No,Travel_Rarely,Research & Development,2,Universitaria,Medical,Baja,Alta,1,Laboratory Technician,Alta,Married,3468,9,No,12,Alta,Muy_Alta,1,6,3,2,2,2,41616,8198.352
32,No,Travel_Frequently,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,3068,0,No,13,Alta,Alta,0,8,2,7,3,6,36816,7252.752
59,No,Travel_Rarely,Research & Development,3,Master,Medical,Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2670,4,Yes,20,Muy_Alta,Baja,3,12,3,1,0,0,32040,6311.88
30,No,Travel_Rarely,Research & Development,24,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2693,1,No,22,Muy_Alta,Media,1,1,2,1,0,0,32316,6366.252
38,No,Travel_Frequently,Research & Development,23,Secundaria,Life Sciences,Muy_Alta,Media,3,Manufacturing Director,Media,Single,9526,0,No,21,Muy_Alta,Media,0,10,2,9,1,8,114312,24005.52
36,No,Travel_Rarely,Research & Development,27,Universitaria,Medical,Alta,Alta,2,Healthcare Representative,Alta,Married,5237,6,No,13,Alta,Media,2,17,3,7,7,7,62844,12820.176
35,No,Travel_Rarely,Research & Development,16,Master,Medical,Baja,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2426,0,No,13,Alta,Alta,1,6,5,5,0,3,29112,4687.032
29,No,Travel_Rarely,Research & Development,15,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Single,4193,0,Yes,12,Alta,Muy_Alta,0,10,3,9,0,8,50316,10264.464
31,No,Travel_Rarely,Research & Development,26,Universitaria,Life Sciences,Baja,Alta,1,Research Scientist,Alta,Divorced,2911,1,No,17,Alta,Muy_Alta,1,5,1,5,4,3,34932,6881.604
34,No,Travel_Rarely,Research & Development,19,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Divorced,2661,0,No,11,Alta,Alta,1,3,2,2,1,2,31932,6290.604
28,Yes,Travel_Rarely,Research & Development,24,Secundaria,Life Sciences,Alta,Media,1,Laboratory Technician,Media,Single,2028,5,Yes,14,Alta,Media,0,6,4,4,0,3,24336,3918.096
29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,Media,Muy_Alta,3,Manufacturing Director,Muy_Alta,Divorced,9980,1,No,11,Alta,Alta,1,10,1,10,8,8,119760,25149.6
32,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,Baja,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,3298,0,Yes,12,Alta,Muy_Alta,2,7,5,6,0,5,39576,7796.472000000001
22,No,Non-Travel,Research & Development,16,Master,Medical,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Divorced,2935,1,Yes,13,Alta,Media,2,1,2,1,0,0,35220,6938.34
53,No,Travel_Rarely,Sales,2,Secundaria,Life Sciences,Baja,Media,4,Manager,Media,Married,15427,2,No,16,Alta,Alta,0,31,3,25,3,7,185124,38876.04
38,No,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,3944,5,Yes,11,Alta,Alta,0,6,3,3,1,2,47328,9323.616
24,No,Non-Travel,Research & Development,11,Master,Other,Baja,Muy_Alta,2,Manufacturing Director,Muy_Alta,Divorced,4011,0,No,18,Alta,Muy_Alta,1,5,5,4,1,3,48132,9482.004
36,Yes,Travel_Rarely,Sales,9,Secundaria,Life Sciences,Alta,Media,1,Sales Representative,Alta,Single,3407,7,No,23,Muy_Alta,Media,0,10,4,5,0,3,40884,8054.148
