iter	Logloss
0	0.6299832402
1	0.5806703632
2	0.5461374919
3	0.5158596947
4	0.4847692892
5	0.4595627558
6	0.4410819748
7	0.4243051957
8	0.4161395637
9	0.4065587569
10	0.3959043853
11	0.3894906076
12	0.3818395446
13	0.3749772156
14	0.3692773313
15	0.3638578661
16	0.3597353462
17	0.3553065605
18	0.3512752299
19	0.3480795776
20	0.3439607685
21	0.3410312367
22	0.3381200777
23	0.3360339833
24	0.3331776314
25	0.3310200179
26	0.3289394249
27	0.3264253058
28	0.32444649
29	0.322853296
30	0.3213286886
31	0.3194884216
32	0.3170029517
33	0.3149564055
34	0.3135596035
35	0.3124436878
36	0.3104797415
37	0.3085318325
38	0.3061162728
39	0.3052613654
40	0.3045280872
41	0.3028634259
42	0.3015732538
43	0.3003244984
44	0.2991390618
45	0.2972693411
46	0.2962333783
47	0.2952658725
48	0.2936101381
49	0.2925956882
50	0.2915769045
51	0.2903532171
52	0.2892947294
53	0.2879342319
54	0.2864854774
55	0.2853021946
56	0.2842235695
57	0.2835942742
58	0.282514118
59	0.2820445469
60	0.2806322785
61	0.2799340592
62	0.2791536292
63	0.2778852294
64	0.2764407307
65	0.2757308078
66	0.2747798582
67	0.2739862455
68	0.2727965271
69	0.2718379481
70	0.2710082126
71	0.2698962672
72	0.2687310718
73	0.2671968888
74	0.266404392
75	0.2656091703
76	0.2650684175
77	0.2638663986
78	0.2629316421
79	0.2615295203
80	0.26035641
81	0.258720346
82	0.2582724175
83	0.2570180569
84	0.2559634358
85	0.2552632961
86	0.2537509373
87	0.2527467118
