iter	Passed	Remaining
0	2	283
1	5	270
2	7	241
3	9	225
4	11	216
5	13	204
6	15	203
7	17	199
8	20	203
9	22	200
10	24	196
11	26	192
12	28	188
13	30	186
14	32	181
15	33	177
16	36	176
17	38	173
18	39	169
19	41	165
20	43	162
21	44	158
22	46	155
23	48	153
24	50	151
25	52	150
26	54	147
27	56	145
28	58	143
29	60	140
30	61	137
31	63	134
32	65	133
33	68	132
34	70	130
35	72	128
36	74	126
37	75	123
38	77	121
39	79	119
40	81	117
41	83	115
42	85	112
43	87	111
44	89	109
45	91	107
46	93	104
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	103	92
53	105	90
54	107	87
55	109	85
56	110	83
57	112	81
58	114	79
59	116	77
60	117	75
61	119	73
62	120	71
63	122	68
64	124	66
65	125	64
66	127	62
67	129	61
68	131	59
69	133	57
70	135	55
71	137	53
72	138	51
73	140	49
74	142	47
75	143	45
76	145	43
77	147	41
78	149	39
79	150	37
80	152	35
81	153	33
82	155	31
83	157	29
84	158	28
85	160	26
86	162	24
87	163	22
